epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,125.078,0.93242,3.37899,1.26965,0.50459,0.60947,0.49302,0.38182,0.83531,2.50733,1.27279,0.00997748,0.00332583,0.00997748,0.00332583,0.00997748,0.00332583,0.00997748,0.00332583
2,226.856,0.89709,1.80608,1.17656,0.71498,0.72848,0.70413,0.55366,0.83113,1.74304,1.28137,0.0197797,0.00659323,0.0197797,0.00659323,0.0197797,0.00659323,0.0197797,0.00659323
3,321.866,0.93326,1.53249,1.17754,0.71842,0.79595,0.75056,0.60264,0.7688,1.54308,1.22298,0.0293839,0.00979464,0.0293839,0.00979464,0.0293839,0.00979464,0.0293839,0.00979464
4,413.863,0.92745,1.42901,1.16964,0.67152,0.78471,0.7481,0.58868,0.83239,1.43243,1.26851,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,505.866,0.88585,1.2705,1.14972,0.71908,0.83951,0.78192,0.63005,0.78162,1.20169,1.21676,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,597.111,0.86069,1.16815,1.13607,0.76829,0.87941,0.81219,0.65502,0.76942,0.97807,1.20372,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,689.154,0.83353,1.06058,1.12341,0.74957,0.86773,0.82465,0.67559,0.74495,0.9092,1.17375,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,782.761,0.82256,1.00852,1.11954,0.83105,0.81455,0.86723,0.71501,0.73186,0.85167,1.16623,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,876.507,0.81105,0.97036,1.11522,0.79511,0.88797,0.86498,0.7108,0.73142,0.78338,1.16395,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,971.483,0.79762,0.90723,1.10956,0.78931,0.8729,0.87803,0.71966,0.71621,0.79082,1.14866,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1064.84,0.78414,0.87296,1.0999,0.80087,0.85904,0.87181,0.70922,0.73563,0.79747,1.15944,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1158.71,0.77752,0.84518,1.09823,0.89843,0.89459,0.90425,0.74332,0.72493,0.67362,1.15053,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1252.21,0.77736,0.8312,1.09751,0.91889,0.88368,0.9084,0.74747,0.70783,0.678,1.13733,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
